date,open,high,low,close,volume,symbol,name
2025-09-24,1395.374,1479.704,1394.685,1456.469,1978034100,sh000688,科创50
2025-09-25,1449.655,1486.43,1448.686,1474.487,1654722000,sh000688,科创50
2025-09-26,1461.953,1485.876,1448.961,1450.824,1725102900,sh000688,科创50
2025-09-29,1448.545,1470.414,1424.841,1470.414,1541410700,sh000688,科创50
2025-09-30,1488.293,1505.907,1478.423,1495.288,1473150600,sh000688,科创50
2025-10-09,1526.918,1588.833,1522.786,1539.081,2214971600,sh000688,科创50
2025-10-10,1511.164,1512.339,1444.985,1452.675,1797651300,sh000688,科创50
2025-10-13,1409.684,1476.13,1409.684,1473.017,1677396600,sh000688,科创50
2025-10-14,1488.048,1489.168,1399.967,1410.3,1846890800,sh000688,科创50
2025-10-15,1409.527,1430.28,1390.989,1429.997,1288930800,sh000688,科创50
2025-10-16,1419.553,1444.231,1409.7,1416.575,1089813700,sh000688,科创50
2025-10-17,1411.74,1415.658,1360.449,1363.168,1167923100,sh000688,科创50
2025-10-20,1390.71,1397.733,1358.686,1367.899,936950300,sh000688,科创50
2025-10-21,1374.983,1410.071,1368.006,1406.318,951331300,sh000688,科创50
2025-10-22,1392.588,1424.232,1380.976,1405.407,816675700,sh000688,科创50
2025-10-23,1396.091,1403.94,1375.746,1401.256,777447300,sh000688,科创50
2025-10-24,1421.209,1466.85,1416.462,1462.222,1081786200,sh000688,科创50
2025-10-27,1489.663,1491.107,1457.649,1484.206,1320700300,sh000688,科创50
2025-10-28,1470.484,1496.064,1463.463,1471.731,1085480600,sh000688,科创50
2025-10-29,1466.439,1495.381,1465.311,1489.123,1266585900,sh000688,科创50
2025-10-30,1485.937,1494.402,1461.3,1461.3,1358141800,sh000688,科创50
2025-10-31,1451.057,1452.239,1415.525,1415.525,1407525200,sh000688,科创50
2025-11-03,1403.456,1406.009,1372.254,1400.859,1343344200,sh000688,科创50
2025-11-04,1406.864,1415.734,1378.642,1387.239,1078230200,sh000688,科创50
2025-11-05,1355.722,1398.368,1355.722,1390.395,1180566100,sh000688,科创50
2025-11-06,1405.154,1442.812,1403.073,1436.858,1370438500,sh000688,科创50
2025-11-07,1420.229,1434.387,1414.468,1415.686,1319918500,sh000688,科创50
