date,open,high,low,close,volume,symbol,name
2025-09-24,3089.904,3185.837,3085.701,3185.571,22145764294,sz399006,创业板指
2025-09-25,3167.752,3266.003,3161.076,3235.765,22694285845,sz399006,创业板指
2025-09-26,3222.187,3251.882,3150.843,3151.53,20924382005,sz399006,创业板指
2025-09-29,3165.065,3259.42,3164.804,3238.012,20082588120,sz399006,创业板指
2025-09-30,3239.326,3279.018,3218.693,3238.16,19665152997,sz399006,创业板指
2025-10-09,3251.04,3322.444,3243.706,3261.822,23035968624,sz399006,创业板指
2025-10-10,3230.457,3235.855,3097.635,3113.262,21970285025,sz399006,创业板指
2025-10-13,2975.026,3096.401,2975.026,3078.762,21088163085,sz399006,创业板指
2025-10-14,3120.995,3124.834,2943.583,2955.983,21671824234,sz399006,创业板指
2025-10-15,2964.517,3030.586,2927.515,3025.867,17983852649,sz399006,创业板指
2025-10-16,3008.372,3068.838,3001.105,3037.442,17347166734,sz399006,创业板指
2025-10-17,3026.398,3042.286,2932.684,2935.37,17826886522,sz399006,创业板指
2025-10-20,3007.208,3042.199,2970.188,2993.455,15593761109,sz399006,创业板指
2025-10-21,3017.772,3101.932,2994.76,3083.716,17202850600,sz399006,创业板指
2025-10-22,3061.267,3089.764,3044.045,3059.319,15831341016,sz399006,创业板指
2025-10-23,3050.736,3066.46,3003.336,3062.163,16239949055,sz399006,创业板指
2025-10-24,3087.628,3171.569,3082.064,3171.569,18307380958,sz399006,创业板指
2025-10-27,3227.179,3241.951,3179.623,3234.455,20725640357,sz399006,创业板指
2025-10-28,3205.442,3282.328,3205.05,3229.575,20143239786,sz399006,创业板指
2025-10-29,3263.984,3324.271,3258.689,3324.271,20717836728,sz399006,创业板指
2025-10-30,3313.788,3331.859,3259.21,3263.022,21761020060,sz399006,创业板指
2025-10-31,3260.264,3281.662,3187.533,3187.533,21347524662,sz399006,创业板指
2025-11-03,3179.297,3199.399,3120.851,3196.871,20898199089,sz399006,创业板指
2025-11-04,3190.404,3207.102,3111.02,3134.09,19143966340,sz399006,创业板指
2025-11-05,3068.948,3179.929,3068.948,3166.231,20000833382,sz399006,创业板指
2025-11-06,3185.128,3236.679,3177.603,3224.624,19582658733,sz399006,创业板指
2025-11-07,3201.259,3240.345,3178.802,3208.206,19944235624,sz399006,创业板指
2025-11-10,3221.933,3236.605,3138.303,3178.827,20533756116,sz399006,创业板指
2025-11-11,3197.123,3209.89,3130.575,3134.316,20310223048,sz399006,创业板指
2025-11-12,3122.577,3137.582,3078.644,3122.027,19984248383,sz399006,创业板指
2025-11-13,3119.086,3209.703,3107.623,3201.754,20638393403,sz399006,创业板指
2025-11-14,3145.924,3167.105,3111.507,3111.507,20998312484,sz399006,创业板指
2025-11-17,3097.335,3120.735,3082.234,3105.203,21307476760,sz399006,创业板指
2025-11-18,3089.382,3115.306,3052.636,3069.219,22428895470,sz399006,创业板指
2025-11-19,3065.165,3113.222,3061.963,3076.845,20997810906,sz399006,创业板指
2025-11-20,3131.838,3137.065,3039.377,3042.341,19450267734,sz399006,创业板指
2025-11-21,2979.371,2996.794,2920.039,2920.078,24648637338,sz399006,创业板指
2025-11-24,2946.456,2951.434,2892.274,2929.043,21908590872,sz399006,创业板指
2025-11-25,2970.731,3027.83,2961.932,2980.934,22808738026,sz399006,创业板指
2025-11-26,2976.705,3081.491,2962.992,3044.695,21283321280,sz399006,创业板指
2025-11-27,3041.205,3113.442,3027.305,3031.296,19514288579,sz399006,创业板指
2025-11-28,3029.977,3067.76,3013.494,3052.587,18738179122,sz399006,创业板指
2025-12-01,3060.557,3093.962,3037.688,3092.499,21008205794,sz399006,创业板指
2025-12-02,3091.369,3094.177,3056.362,3071.149,19246524050,sz399006,创业板指
2025-12-03,3078.858,3105.304,3028.696,3036.786,19585191000,sz399006,创业板指
2025-12-04,3037.051,3075.458,3016.579,3067.484,17561563591,sz399006,创业板指
2025-12-05,3084.217,3115.814,3048.943,3109.297,18848488749,sz399006,创业板指
2025-12-08,3119.151,3214.478,3119.151,3190.269,21190777492,sz399006,创业板指
2025-12-09,3183.613,3235.536,3175.506,3209.603,19411787047,sz399006,创业板指
2025-12-10,3201.378,3220.235,3143.415,3209.004,18550766603,sz399006,创业板指
2025-12-11,3210.546,3246.317,3163.675,3163.675,19403941107,sz399006,创业板指
2025-12-12,3172.731,3203.254,3137.625,3194.359,20278545302,sz399006,创业板指
2025-12-15,3157.32,3184.625,3135.663,3137.801,18067347997,sz399006,创业板指
2025-12-16,3130.428,3141.579,3058.792,3071.762,18155089402,sz399006,创业板指
2025-12-17,3072.621,3181.689,3072.621,3175.908,18686832441,sz399006,创业板指
2025-12-18,3138.657,3154.066,3107.065,3107.065,16921874026,sz399006,创业板指
2025-12-19,3134.804,3157.29,3112.032,3122.238,17736191710,sz399006,创业板指
2025-12-22,3153.749,3197.941,3153.749,3191.985,17522753517,sz399006,创业板指
2025-12-23,3196.309,3227.067,3184.534,3205.011,18388058045,sz399006,创业板指
2025-12-24,3207.409,3234.999,3193.967,3229.577,18267504994,sz399006,创业板指
2025-12-25,3232.971,3249.105,3200.492,3239.343,19356999681,sz399006,创业板指
2025-12-26,3232.409,3268.695,3219.131,3243.876,21093462998,sz399006,创业板指
2025-12-29,3237.773,3250.088,3208.076,3222.611,19624276753,sz399006,创业板指
2025-12-30,3208.323,3251.133,3207.729,3242.905,20695328504,sz399006,创业板指
2025-12-31,3247.737,3254.89,3198.248,3203.172,20619816729,sz399006,创业板指
2026-01-05,3229.933,3295.286,3229.933,3294.551,26314261047,sz399006,创业板指
2026-01-06,3279.811,3321.436,3265.729,3319.292,27815065515,sz399006,创业板指
2026-01-07,3331.341,3351.216,3298.553,3329.693,27164105082,sz399006,创业板指
2026-01-08,3308.738,3328.955,3285.164,3302.307,28086491869,sz399006,创业板指
