date,open,high,low,close,volume,symbol,name
2025-09-24,7375.911,7534.222,7342.47,7534.222,27891276100,sh000852,中证1000
2025-09-25,7521.317,7563.079,7487.119,7506.512,26440371200,sh000852,中证1000
2025-09-26,7476.937,7516.111,7396.585,7397.589,25875025900,sh000852,中证1000
2025-09-29,7415.128,7517.118,7376.909,7497.831,25868018400,sh000852,中证1000
2025-09-30,7525.624,7592.914,7524.915,7574.963,25517378500,sh000852,中证1000
2025-10-09,7623.299,7671.171,7590.473,7648.052,30349138000,sh000852,中证1000
2025-10-10,7608.292,7621.976,7513.166,7533.82,29042992200,sh000852,中证1000
2025-10-13,7250.579,7535.207,7250.579,7519.764,28840041100,sh000852,中证1000
2025-10-14,7580.393,7611.826,7342.6,7373.152,30441201300,sh000852,中证1000
2025-10-15,7384.011,7484.049,7315.483,7483.449,24485396500,sh000852,中证1000
2025-10-16,7460.763,7472.755,7378.297,7401.838,23464307000,sh000852,中证1000
2025-10-17,7395.866,7426.21,7176.959,7185.478,25432732500,sh000852,中证1000
2025-10-20,7259.486,7301.988,7196.28,7239.185,21857967600,sh000852,中证1000
2025-10-21,7257.112,7350.923,7236.634,7344.047,23725016500,sh000852,中证1000
2025-10-22,7304.964,7349.797,7278.713,7312.21,22732450300,sh000852,中证1000
2025-10-23,7292.39,7319.55,7192.416,7308.099,23156897600,sh000852,中证1000
2025-10-24,7340.669,7419.407,7340.669,7419.235,24555995300,sh000852,中证1000
2025-10-27,7483.295,7511.414,7430.62,7495.383,26534474900,sh000852,中证1000
2025-10-28,7462.911,7534.051,7443.701,7479.221,25180424900,sh000852,中证1000
2025-10-29,7481.237,7569.117,7469.07,7569.117,26584612900,sh000852,中证1000
2025-10-30,7560.6,7569.156,7476.701,7485.085,29738526900,sh000852,中证1000
2025-10-31,7480.658,7583.033,7480.658,7506.675,29974520600,sh000852,中证1000
2025-11-03,7507.374,7539.327,7417.273,7538.118,27824170500,sh000852,中证1000
2025-11-04,7523.64,7523.64,7387.378,7435.731,25167741300,sh000852,中证1000
2025-11-05,7332.104,7490.904,7332.104,7464.863,25854817800,sh000852,中证1000
2025-11-06,7482.908,7551.83,7466.752,7551.83,26361295900,sh000852,中证1000
2025-11-07,7519.748,7581.56,7492.926,7541.878,26788866400,sh000852,中证1000
