code,name,pct,amount,turnover,seal_amount,first_limit_time,last_limit_time,open_times,board_stat,board_count,industry
000017,深中华A,9.974424362182615,497483920,13.12454891204834,122828863,92500,95812,1,4/4,4,饰品
002084,海鸥住工,10.126582145690918,11115020,0.3963761329650879,195710950,92500,92500,0,2/2,2,家居用品
002445,中南文化,10.08902072906494,20938572,0.2385128289461136,233229075,92500,92500,0,2/2,2,通用设备
600984,建设机械,10.022271156311035,68324152,1.1002638339996338,162802195,92502,92502,0,2/2,2,工程机械
002880,卫光生物,10.0,78240666,1.539973497390747,23159977,93012,93012,0,4/2,1,生物制品
600508,上海能源,10.02024269104004,423240480,3.862980842590332,33752002,93029,102544,1,2/2,2,煤炭开采
000428,华天酒店,9.923664093017578,76787310,1.779201865196228,93092302,93148,93148,0,1/1,1,酒店餐饮
600127,金健米业,10.047281265258787,2715416624,46.16722869873047,28919857,93154,145503,7,7/5,1,农产品加
605303,园林股份,10.014443397521973,83424017,2.2837131023406982,76101925,93212,93512,2,1/1,1,基础建设
000796,凯撒旅业,10.0,167037951,3.0495293140411377,42638090,93251,93315,1,1/1,1,旅游及景
002949,华阳国际,9.991158485412598,266158340,14.240029335021973,7777488,93315,111933,10,1/1,1,工程咨询
600371,万向德农,10.02538013458252,406261424,16.272275924682617,46891660,93319,133249,4,6/3,1,种植业
300642,透景生命,20.0,178732721,8.18323040008545,53800200,93324,93324,0,1/1,1,医疗器械
600698,湖南天雁,9.969788551330566,230836543,3.866345882415772,44127428,93410,93410,0,1/1,1,汽车零部
002041,登海种业,10.00981330871582,931125392,9.63973331451416,8143538,93415,144427,3,6/3,2,种植业
603360,百傲化学,9.98402500152588,157842229,1.651909589767456,34048321,93518,93533,1,1/1,1,农化制品
600470,六国化工,10.018552780151367,206076496,6.776531219482422,78405351,93523,93705,1,1/1,1,农化制品
003040,楚天龙,10.021322250366213,678449056,9.913867950439451,160849088,93548,93548,0,3/3,3,通信设备
600838,上海九百,10.013717651367188,110387309,3.484159708023072,44266646,93650,93708,1,1/1,1,一般零售
600281,华阳新材,10.0217866897583,158661819,6.229799747467041,49350039,93946,101143,2,1/1,1,小金属
603095,越剑智能,9.993292808532717,291867280,7.050419330596924,71651600,94037,100352,1,10/5,1,专用设备
603079,圣达生物,9.97624683380127,213084522,8.403953552246094,93712357,94229,94229,0,8/4,1,化学制品
002742,冀衡医药,10.117647171020508,221288284,9.226219177246094,36986456,94306,94306,0,1/1,1,化学制药
002412,汉森制药,9.991079330444336,1236227040,21.26590156555176,117349788,94536,94536,0,5/5,5,中药Ⅱ
600103,青山纸业,10.139860153198242,513461552,7.509376525878906,33846772,94537,94537,0,1/1,1,造纸
603395,红四方,10.019268035888672,375668736,20.86239624023437,93508244,94713,94713,0,7/4,1,农化制品
603113,金能科技,10.0401611328125,188585335,4.19357442855835,61131674,94836,94836,0,1/1,1,化学原料
002907,华森制药,9.993012428283691,254303035,4.9629011154174805,87843366,94906,94906,0,1/1,1,中药Ⅱ
000695,滨海能源,10.035842895507812,299793120,9.000675201416016,89465924,95300,95951,1,1/1,1,电池
000566,海南海药,9.955751419067385,489612704,7.843836307525635,128748222,95403,95403,0,1/1,1,化学制药
688169,石头科技,20.0,2557389040,7.472938537597656,98149860,95450,100320,3,1/1,1,小家电
603318,水发燃气,9.989258766174316,739024992,16.243764877319336,88163624,95639,100548,2,3/2,1,燃气Ⅱ
600785,新华百货,9.990663528442385,783600368,22.599348068237305,32046547,95650,140008,1,3/3,3,一般零售
002703,浙江世宝,9.979209899902344,1159846928,12.889159202575684,62815586,95806,102206,5,1/1,1,汽车零部
600936,北投科技,9.935205459594728,477401360,5.7351484298706055,87405067,95822,101801,2,1/1,1,IT服务Ⅱ
000779,甘咨询,10.0,608006768,13.598295211791992,181897495,95830,95830,0,1/1,1,工程咨询
002081,金 螳 螂,10.0,1145819008,8.306427955627441,168428150,95945,95945,0,10/5,1,装修装饰
002418,康盛股份,10.05434799194336,374789456,8.320642471313477,51021944,100009,103621,1,1/1,1,家电零部
603637,镇海股份,10.039215087890623,162502906,4.995213508605957,82260696,100128,100304,1,4/2,1,专业工程
002837,英维克,10.009132385253906,5646530048,8.51327896118164,326130693,100548,111236,1,1/1,1,专用设备
002713,东易日盛,10.055248260498049,149460356,2.991664409637451,38510340,101124,101136,1,1/1,1,装修装饰
000070,特发信息,9.993155479431152,833419104,6.255198001861572,121344570,101548,101548,0,1/1,1,通信设备
002686,亿利达,10.0,252138103,7.3277177810668945,36685462,101939,101939,0,3/2,1,通用设备
002947,恒铭达,10.001845359802246,687782592,6.042917251586914,111229577,103642,105100,2,1/1,1,消费电子
002094,青岛金王,10.064239501953123,185731183,5.409899711608887,28577886,103654,103654,0,1/1,1,家居用品
600829,人民同泰,9.978307723999023,416052672,7.338248252868652,108536146,105903,130618,1,1/1,1,医药商业
000560,我爱我家,10.138248443603516,657564176,12.181095123291016,67197414,111212,111212,0,1/1,1,房地产服
002855,捷荣技术,10.0,50633745,1.934753060340881,36550800,111406,111406,0,1/1,1,消费电子
600714,金瑞矿业,10.006373405456545,420095184,9.202391624450684,72804233,130112,130112,0,1/1,1,化学原料
603687,大胜达,10.0,214250615,2.868920087814331,62349188,130115,130115,0,1/1,1,包装印刷
002821,凯莱英,10.001916885375977,2807272416,5.368891716003418,158255257,130142,130142,0,1/1,1,医疗服务
300922,天秦装备,19.98830986022949,331482032,13.68289566040039,47246510,130721,130721,0,1/1,1,地面兵装
300097,智云股份,20.045557022094727,453799968,17.701221466064453,30687210,130948,130948,0,1/1,1,自动化设
603758,秦安股份,9.981851577758787,485242720,9.602992057800291,5992128,131301,145134,5,13/7,1,汽车零部
003018,金富科技,10.0,882941184,7.1574578285217285,114700558,131336,131336,0,3/2,1,包装印刷
003021,兆威机电,10.006046295166016,416117024,2.884432792663574,76038797,131936,131936,0,1/1,1,电机Ⅱ
002963,豪尔赛,10.016242027282717,212936519,7.360971927642822,9889744,132521,132521,0,1/1,1,装修装饰
603217,元利科技,9.996126174926758,174897121,3.0933427810668945,84549309,133652,133652,0,1/1,1,化学制品
002451,摩恩电气,10.013531684875488,258714360,7.722817897796631,63191238,133654,133748,1,1/1,1,电网设备
002259,升达林业,9.973752975463867,114220104,3.7968430519104,26255378,134645,134645,0,1/1,1,燃气Ⅱ
600172,黄河旋风,9.98427677154541,2449812112,14.433436393737791,185911711,135018,135530,1,1/1,1,通用设备
000659,珠海中富,10.038609504699709,105634481,3.022898435592652,27258255,140203,140203,0,1/1,1,包装印刷
002478,常宝股份,10.015897750854492,325471696,6.796586513519287,67019639,143318,143318,0,1/1,1,特钢Ⅱ
603912,佳力图,10.060606002807615,361157856,7.617812633514404,42120639,143419,143419,0,1/1,1,通用设备
600605,汇通能源,10.016555786132812,206951566,3.8956778049468994,9544878,144153,144153,0,1/1,1,一般零售
