code,name,pct,amount,turnover,open_times,board_stat,amplitude,industry
002793,罗欣药业,6.597938537597656,457067616,8.115217208862305,2,0/0,11.134020805358888,化学制药
688575,亚辉龙,13.263158798217772,604644768,9.564740180969238,1,0/0,10.947368621826172,医疗器械
600488,津药药业,5.947955131530762,779165712,12.432472229003906,2,0/0,11.152416229248049,化学制药
603696,安记食品,6.5859198570251465,395120144,11.90025520324707,2,0/0,10.825132369995115,调味发酵
002437,誉衡药业,6.763284683227539,3366709904,36.15475082397461,2,0/0,9.661835670471191,化学制药
605339,南侨食品,0.696864128112793,140908927,2.2149441242218018,2,0/0,11.358884811401367,休闲食品
002670,国盛证券,6.170598983764648,914594672,4.810522556304932,1,0/0,10.435571670532228,证券Ⅱ
000506,招金黄金,9.252845764160156,3651833664,18.0808219909668,17,0/0,10.984661102294922,贵金属
301533,威马农机,11.597373962402344,282434832,32.05200958251953,2,0/0,20.75127601623535,专用设备
000816,智慧农业,6.6666669845581055,324336400,7.418510913848877,1,0/0,11.228070259094238,汽车零部
002428,云南锗业,8.441211700439453,8458360832,13.11561679840088,1,0/0,9.864128112792969,小金属
603738,泰晶科技,8.45142936706543,2756376224,17.317594528198242,1,0/0,10.280856132507324,元件
002552,宝鼎科技,7.899807453155518,2830623680,14.078824043273926,3,0/0,13.217726707458496,元件
600183,生益科技,8.430121421813965,14313829888,4.278006553649902,1,0/0,7.645565986633301,元件
002975,博杰股份,7.149231433868408,2762669088,18.81509590148925,1,0/0,12.622706413269045,自动化设
001324,长青科技,4.366576671600342,277093248,10.143056869506836,1,0/0,10.781671524047852,轨交设备
603225,新凤鸣,8.617021560668945,557363680,1.675044298171997,1,0/0,10.638298034667969,化学纤维
