code,name,pct,amount,turnover,seal_amount,last_limit_time,down_count,open_times,industry
603839,安正时尚,-9.986129760742188,130658824,5.102039813995361,1402489,150000,1,7,服装家纺
003013,地铁设计,-9.971988677978516,323242880,4.800118446350098,4166951,142715,1,8,工程咨询
002028,思源电气,-10.00058650970459,1015802576,1.0802829265594482,465418811,93618,1,4,电网设备
