code,name,pct,amount,turnover,seal_amount,first_limit_time,last_limit_time,open_times,board_stat,board_count,industry
000712,锦龙股份,9.972041130065918,178845225,1.6920617818832395,237252275,92500,92500,0,3/3,3,证券Ⅱ
002084,海鸥住工,10.056926727294922,39002059,1.0431482791900637,360809920,92500,92500,0,5/5,5,家居用品
002855,捷荣技术,9.992486953735352,75031464,2.081451416015625,63064728,92500,92500,0,4/4,4,消费电子
002886,沃特股份,10.0,112054800,2.030102014541626,265290960,92500,92500,0,6/3,2,塑料
002942,新农股份,9.994739532470703,512135680,18.389476776123047,13286214,92500,140357,3,3/3,3,农化制品
600371,万向德农,10.009532928466797,56645752,1.6777215003967283,163270874,92502,92502,0,9/6,4,种植业
600378,昊华科技,10.008254051208496,2975549760,5.205942630767822,431331956,92502,94526,3,2/2,2,化学制品
600540,新赛股份,10.0217866897583,26090416,0.8886521458625793,189528424,92503,92503,0,2/2,2,种植业
600654,中安科,10.0,423233984,5.031227111816406,125670948,92503,93321,1,2/2,2,软件开发
002354,天娱数科,9.943977355957031,718716592,5.627326488494873,529592768,93000,93000,0,1/1,1,广告营销
002631,德尔未来,10.0217866897583,963976608,12.116863250732422,25298954,93000,130818,9,1/1,1,家居用品
002742,冀衡医药,10.05290985107422,1345116192,41.97233581542969,41307196,93000,143857,3,10/5,4,化学制药
603900,莱绅通灵,9.943977355957031,175103011,6.508481025695801,62234800,93001,93001,0,2/2,2,饰品
300378,鼎捷数智,19.99359130859375,518327568,5.182827949523926,99647709,93024,93024,0,1/1,1,软件开发
600551,时代出版,9.970674514770508,138324673,2.7304041385650635,33831150,93050,93302,1,1/1,1,出版
603269,海鸥股份,10.019841194152832,341607952,3.594622611999512,64238314,93113,93228,1,2/2,2,通用设备
002279,久其软件,9.984399795532228,323045328,5.8414483070373535,122216685,93257,93257,0,1/1,1,软件开发
000017,深中华A,9.990394592285156,1253143472,25.08280563354492,10069130,93300,144706,14,7/7,7,饰品
000059,华锦股份,10.079051971435549,539433632,6.132847309112549,7013844,93306,100851,1,1/1,1,炼化及贸
600929,雪天盐业,10.018214225769045,171880314,1.759232759475708,64951701,93404,93555,2,1/1,1,化学原料
600479,千金药业,9.983498573303224,1392000800,25.61577033996582,47124255,93427,142121,10,3/3,3,中药Ⅱ
603045,福达合金,9.9946928024292,380340752,4.580180168151856,56924111,93512,93539,1,1/1,1,金属新材
002396,星网锐捷,10.014991760253906,4141078928,15.157744407653809,144942377,93609,145251,7,6/3,2,通信设备
