code,name,pct,amount,turnover,open_times,board_stat,amplitude,industry
600103,青山纸业,0.7853402495384216,2970707696,33.7957878112793,1,4/3,10.471203804016112,造纸
603261,立航科技,-2.945683717727661,371137264,8.054703712463379,1,2/1,16.328964233398438,航空装备
002902,铭普光磁,6.883066177368164,970335808,18.822799682617188,3,0/0,11.458740234375,通信设备
603618,杭电股份,2.307034969329834,7081984768,27.618852615356445,1,3/2,8.459128379821777,电网设备
601360,三六零,6.651376247406006,2205186432,3.36409592628479,1,0/0,8.371559143066406,软件开发
002418,康盛股份,-0.2036660015583038,2521908000,42.88680648803711,2,4/3,11.60896110534668,家电零部
603683,晶华新材,6.203007698059082,837089344,16.949113845825195,2,0/0,10.463659286499023,化学制品
002636,金安国纪,5.431494235992432,7075641856,13.128436088562012,1,2/1,6.267108917236328,元件
603330,天洋新材,1.3799448013305664,1727062720,37.27364730834961,1,0/0,12.511499404907228,塑料
603880,南卫股份,4.875406265258789,248006601,8.703956604003906,1,0/0,10.61755084991455,医疗器械
002905,金逸影视,1.752190351486206,192411385,6.669579982757568,1,0/0,10.513141632080078,影视院线
688061,灿瑞科技,10.893134117126465,288666688,5.73336935043335,2,0/0,20.62467765808105,半导体
688205,德科立,10.414838790893556,4035474192,14.213665962219238,2,0/0,21.963905334472656,通信设备
603711,香飘飘,5.92850923538208,168009376,3.3656766414642334,1,0/0,10.810811042785645,饮料乳品
002072,凯瑞德,4.606741905212402,613289584,18.531328201293945,1,3/2,16.629213333129883,贸易Ⅱ
603395,红四方,5.693828582763672,899932528,45.67282104492188,2,0/0,14.251619338989258,农化制品
