code,name,pct,amount,turnover,open_times,board_stat,amplitude,industry
002445,中南文化,-2.9649593830108643,1532764848,16.926118850708008,1,3/2,14.82479763031006,通用设备
000931,中 关 村,4.022988796234131,824610192,19.60828399658203,1,5/3,7.279693126678467,化学制药
002412,汉森制药,6.163827896118164,2431762704,37.10614013671875,1,6/5,12.65206813812256,中药Ⅱ
002686,亿利达,3.51906156539917,688672464,17.9322452545166,2,4/2,6.744868278503418,通用设备
002880,卫光生物,7.405764579772949,365536528,6.673611164093018,3,2/1,7.095343589782715,生物制品
600165,宁科生物,4.281345367431641,180208301,7.138949871063232,1,11/7,9.785933494567873,化学制品
002078,太阳纸业,8.78962516784668,1283136816,3.041518449783325,12,0/0,4.106627941131592,造纸
603955,大千生态,5.422885894775391,124034977,4.3034186363220215,1,0/0,8.15920352935791,基础建设
600594,益佰制药,6.25,462152528,14.385977745056152,1,0/0,10.416666030883787,中药Ⅱ
603286,日盈电子,5.293691158294678,347945008,6.740590572357178,1,0/0,9.934735298156738,汽车零部
002172,澳洋健康,2.597402572631836,1320653616,35.32569122314453,1,11/6,8.441558837890625,医疗服务
002427,尤夫股份,5.947136402130127,335554448,7.002102375030518,1,0/0,11.013216018676758,化学纤维
000721,西安饮食,4.185351371765137,327434048,9.08134937286377,1,0/0,10.76233196258545,酒店餐饮
300333,兆日科技,16.745506286621094,1090662752,26.862817764282227,2,0/0,22.42194938659668,计算机设
603093,南华期货,6.406926155090332,622368848,5.708247661590576,4,0/0,10.995671272277832,多元金融
688828,国仪公司-U,15.093239784240724,1165348080,39.585060119628906,1,0/0,20.396270751953125,通用设备
002026,山东威达,8.181818008422852,463872528,9.010951042175291,1,0/0,11.090909004211426,通用设备
603871,嘉友国际,7.763975143432617,556762688,2.947473287582397,1,0/0,6.987577438354492,物流
600508,上海能源,5.33578634262085,1218008048,10.851305961608888,1,3/2,14.811407089233398,煤炭开采
601118,海南橡胶,7.364975452423096,1293096928,4.721879959106445,1,0/0,11.783960342407228,种植业
