code,name,pct,amount,turnover,seal_amount,first_limit_time,last_limit_time,open_times,board_stat,board_count,industry
000931,中 关 村,10.019646644592283,616654400,14.98971462249756,89005666,92500,143957,1,3/3,3,化学制药
000017,深中华A,9.98593521118164,69120996,2.0051183700561523,180589590,92500,92500,0,3/3,3,饰品
002445,中南文化,10.130719184875488,16167218,0.202742114663124,198607600,92500,92500,0,1/1,1,通用设备
000925,众合科技,10.061349868774414,105717890,1.7560416460037231,169076265,92500,92500,0,1/1,1,轨交设备
002015,协鑫能科,10.035335540771484,494260512,1.9555184841156008,348193467,92500,92500,0,1/1,1,电力
000065,北方国际,10.033076286315918,825797040,7.800812721252441,73901500,92500,135606,6,1/1,1,专业工程
002084,海鸥住工,10.027854919433594,19296785,0.7579439878463745,236239775,92500,92500,0,1/1,1,家居用品
002906,华阳集团,10.01558780670166,62595480,0.4225907027721405,325742046,92500,92500,0,1/1,1,汽车零部
600785,新华百货,9.958932876586914,169637652,5.015392780303955,74140264,92501,93116,1,2/2,2,一般零售
600604,市北高新,10.022271156311035,139040865,2.000519037246704,65737143,93000,93000,0,1/1,1,房地产开
002412,汉森制药,10.00981330871582,403946816,7.332803249359131,249630535,93006,93006,0,4/4,4,中药Ⅱ
601212,白银有色,10.016420364379885,1457887760,2.951879501342773,303296109,93045,93618,2,2/2,2,工业金属
002017,东信和平,9.979352951049805,684374144,7.44802713394165,51929742,93100,94518,5,2/2,2,通信设备
603958,哈森股份,10.024331092834473,965030064,19.91383552551269,52624775,93138,142646,3,6/5,3,服装家纺
003040,楚天龙,10.007819175720217,700507536,11.153006553649902,32440579,93157,102654,7,2/2,2,通信设备
001268,联合精密,10.00981330871582,129573980,6.221759796142578,43818993,93227,111324,1,1/1,1,家电零部
605286,同力天启,9.99197483062744,123464208,2.7201833724975586,139004113,93250,93308,1,1/1,1,专用设备
000620,盈新发展,10.158730506896973,1456230544,9.124317169189451,251117654,93357,94942,1,1/1,1,房地产开
603200,上海洗霸,10.008434295654297,130284373,1.924377679824829,41106065,93442,93442,0,1/1,1,环境治理
002277,友阿股份,10.08547019958496,530373392,5.961277961730957,45251703,93506,144454,5,1/1,1,一般零售
600594,益佰制药,9.946236610412598,209386557,6.601603031158447,37290906,93519,95922,2,1/1,1,中药Ⅱ
301152,天力锂能,20.020586013793945,324645248,20.0224609375,24870780,93530,100454,4,1/1,1,电池
603089,正裕工业,10.031347274780272,111102288,4.494946002960205,26984441,93613,93613,0,7/4,1,汽车零部
600613,神奇制药,10.0,937738752,20.356971740722656,93698837,93629,93844,1,8/6,1,化学制药
603032,德新科技,10.010881423950195,171616655,3.7020957469940186,48995082,93710,93710,0,1/1,1,电池
002580,圣阳股份,9.979101181030272,1205842672,12.827672958374023,188619367,93733,94145,1,1/1,1,电池
002882,金龙羽,10.0,332816752,5.773613452911377,22778712,93912,93912,0,1/1,1,电网设备
000723,美锦能源,9.887005805969238,697970720,4.14756965637207,30298031,94003,94403,1,4/2,1,焦炭Ⅱ
002041,登海种业,10.04319667816162,450444064,5.1568450927734375,102201624,94412,94412,0,1/1,1,种植业
605198,安德利,10.0,323766816,1.8804025650024407,55363055,94720,95129,1,1/1,1,农产品加
003035,南网能源,9.980806350708008,467651808,2.1831259727478027,67983585,94806,110709,3,1/1,1,电力
603105,芯能科技,9.943181991577148,249264831,6.541827201843262,60997392,95038,110356,1,1/1,1,电力
600508,上海能源,10.022271156311035,346728224,3.5398504734039307,74277237,95249,103443,2,1/1,1,煤炭开采
601700,风范股份,9.985734939575195,1221491328,14.54291534423828,50322784,95405,95405,0,16/9,1,电网设备
002651,利君股份,9.961685180664062,289523776,6.118129253387451,69227594,95551,95551,0,1/1,1,航空装备
603330,天洋新材,10.03009033203125,1233974096,28.748992919921875,49273510,100452,110922,7,9/6,2,塑料
002172,澳洋健康,9.90099048614502,519433216,16.141847610473633,58956113,100703,100703,0,9/6,1,医疗服务
603565,中谷物流,10.008136749267578,731250400,2.616997718811035,75877836,101223,143841,1,1/1,1,航运港口
002716,湖南白银,9.980806350708008,6608849664,25.32951736450196,156651576,101430,145018,2,2/2,2,贵金属
600367,红星发展,10.005766868591309,2781079056,23.49808120727539,91482212,102611,140305,10,1/1,1,化学原料
300313,天山生物,20.0,639508496,23.494287490844727,23144448,105842,105842,0,6/3,1,养殖业
601083,锦江航运,9.983221054077148,563987472,22.63522720336914,17050866,130052,133513,1,1/1,1,航运港口
600610,中毅达,10.038119316101074,696790720,11.99840259552002,64715244,131811,131811,0,4/2,1,化学原料
600272,开开实业,10.0,884506560,31.8587646484375,17932200,133354,141527,4,13/7,1,医药商业
002052,同洲电子,10.060606002807615,280641488,4.672367572784424,50446146,140503,140503,0,1/1,1,其他电源
600403,大有能源,9.939759254455566,1039822368,6.199392795562744,109480676,141658,141658,0,4/2,1,煤炭开采
