code,name,pct,amount,turnover,seal_amount,first_limit_time,last_limit_time,open_times,board_stat,board_count,industry
002855,捷荣技术,10.0,18861601,0.5755252838134766,92996970,92500,92500,0,3/3,3,消费电子
002742,冀衡医药,10.097086906433104,56422737,1.8993507623672483,168347970,92500,92500,0,3/3,3,化学制药
000712,锦龙股份,10.051281929016112,158057696,1.644511103630066,220685551,92500,92500,0,2/2,2,证券Ⅱ
002084,海鸥住工,10.02087688446045,27643695,0.8137143850326538,329225563,92500,92500,0,4/4,4,家居用品
002942,新农股份,10.011573791503906,42953665,1.6283951997756958,356469246,92500,92500,0,2/2,2,农化制品
002155,湖南黄金,10.016286849975586,383632336,0.9086782336235046,564939509,92500,92500,0,1/1,1,贵金属
600540,新赛股份,10.071942329406738,40677246,1.5243371725082395,161909496,92502,92502,0,1/1,1,种植业
600613,神奇制药,10.047392845153809,677314640,12.17633056640625,167587935,92502,93050,1,11/7,1,化学制药
603237,五芳斋,9.972298622131348,57087483,1.8949249982833865,30682351,93006,93006,0,1/1,1,食品加工
600371,万向德农,9.9580717086792,169885569,5.547128200531006,204232474,93006,93006,0,8/5,3,种植业
000890,法尔胜,10.025062561035156,132042068,3.611972093582153,98898798,93009,93009,0,2/2,2,环保设备
600103,青山纸业,10.086455345153809,507382960,6.097270488739014,307811504,93033,93033,0,3/3,3,造纸
000576,甘化科工,10.041265487670898,268783456,7.823816776275635,33069648,93039,95318,4,1/1,1,地面兵装
003040,楚天龙,9.982383728027344,1759884208,20.767614364624023,38151137,93048,131809,19,5/5,5,通信设备
301666,大普微-UW,20.0,961955872,7.814459800720215,251022000,93051,93051,0,1/1,1,计算机设
600479,千金药业,9.981851577758787,1300882240,25.8243465423584,36494459,93130,132045,7,2/2,2,中药Ⅱ
600378,昊华科技,10.011350631713867,1436979568,2.788278341293335,197313952,93136,93339,2,1/1,1,化学制品
600721,百花医药,10.026385307312012,2746713040,43.45110321044922,42637149,93150,143935,13,1/1,1,医疗服务
000017,深中华A,10.042283058166504,605589536,13.514057159423828,45440691,93224,93536,2,6/6,6,饰品
000951,中国重汽,10.024569511413574,692269440,2.654404163360596,58101154,93227,101100,9,1/1,1,商用车
600359,新农开发,10.014727592468262,182766853,6.4499945640563965,40110493,93258,95816,1,1/1,1,种植业
002418,康盛股份,10.089685440063477,1227785888,22.533653259277344,86280007,93415,94642,2,3/3,3,家电零部
002072,凯瑞德,10.01236057281494,361420288,11.205681800842283,38225491,93427,100648,4,2/2,2,贸易Ⅱ
002886,沃特股份,9.99083423614502,777510304,15.713293075561523,122493600,93433,94648,5,1/1,1,塑料
603618,杭电股份,9.993734359741213,2296869920,9.68800926208496,347233967,93513,93528,1,2/2,2,电网设备
600127,金健米业,10.0,1367268928,20.32373809814453,189199036,93516,93610,1,9/6,1,农产品加
603261,立航科技,10.001873016357422,100856416,2.2703044414520264,70981078,93542,93542,0,1/1,1,航空装备
600654,中安科,10.0,326401392,4.36924409866333,80570820,93837,93837,0,1/1,1,软件开发
300368,汇金股份,19.950124740600582,606935392,12.344393730163574,80192329,93921,94330,1,1/1,1,计算机设
600095,湘财股份,10.034602165222168,1916435920,7.123424053192139,65334690,93941,130241,10,2/2,2,证券Ⅱ
603900,莱绅通灵,10.01540756225586,192416318,8.085417747497559,72769023,93959,94035,1,1/1,1,饰品
603938,三孚股份,10.00734043121338,573853728,3.421219825744629,76888029,94120,94547,1,1/1,1,化学原料
601869,长飞光纤,9.99948501586914,6145393408,3.6318209171295166,339458482,94919,102555,1,1/1,1,通信设备
002953,日丰股份,10.0,216500101,6.712627410888672,46847295,95042,95042,0,1/1,1,电网设备
603002,宏昌电子,10.019518852233888,966065520,5.172560691833496,135985147,95201,95201,0,1/1,1,电子化学
600683,京投发展,9.960159301757812,458229824,5.741618633270264,71743440,95429,95820,1,1/1,1,房地产开
603580,艾艾精工,10.0,657379104,6.460948467254639,61704730,95533,95533,0,1/1,1,塑料
000586,汇源通信,10.0,146846822,5.471887111663818,17351081,95542,95542,0,1/1,1,通信设备
002980,华盛昌,10.003233909606934,1112099584,11.051597595214844,77897622,95824,103815,1,1/1,1,电网设备
002536,飞龙股份,10.0,3302729424,11.430900573730469,120383007,95951,133730,3,1/1,1,汽车零部
301399,英特科技,20.0,354092608,31.769506454467773,28386261,100015,104636,1,1/1,1,通用设备
600162,香江控股,9.932279586791992,634967808,4.132994174957275,73617842,100621,100621,0,1/1,1,房地产开
600108,亚盛集团,9.883721351623535,549522688,7.700608253479004,54726053,100835,100835,0,1/1,1,种植业
600969,郴电国际,10.0,367645168,9.928468704223633,18546242,100924,100954,1,2/2,2,电力
603137,恒尚节能,9.990999221801758,447107808,10.327447891235352,76224718,101110,101325,1,1/1,1,装修装饰
300456,赛微电子,20.012954711914062,2873362736,13.720868110656738,174117404,101324,102627,2,1/1,1,半导体
603435,嘉德利,10.010319709777832,184840163,9.987914085388184,41764440,101801,101837,1,1/1,1,电子化学
688790,昂瑞微-UW,20.004207611083984,206636788,14.78150463104248,35146565,101856,101856,0,1/1,1,半导体
301591,肯特股份,20.0,779741936,36.72898483276367,81255434,101948,101948,0,1/1,1,塑料
600397,江钨装备,10.0,1880122960,10.357230186462402,123457125,102342,102342,0,1/1,1,专用设备
920895,花溪科技,30.00000190734864,107431846,24.688417434692383,11112253,102348,110203,3,1/1,1,专用设备
002134,天津普林,10.0145845413208,252642281,4.653747081756592,61451765,102642,102642,0,1/1,1,元件
002190,成飞集成,10.0,561663456,6.271623134613037,56653072,102745,103921,1,1/1,1,汽车零部
001232,嘉立创,10.0,1378644400,19.62797164916992,68367100,103006,103006,0,1/1,1,元件
605258,协和电子,10.0,142686571,5.262018203735352,7981380,103318,103457,2,1/1,1,元件
002636,金安国纪,10.0,3480428432,7.158946514129639,143025413,103518,104139,1,1/1,1,元件
603269,海鸥股份,9.983633041381836,518272624,6.172569751739502,67615208,104206,110530,2,1/1,1,通用设备
603011,合锻智能,10.02188205718994,1242142160,10.520084381103516,100343796,104248,104551,1,1/1,1,专用设备
688300,联瑞新材,20.0,3769790832,9.044734001159668,86159093,104920,111947,2,1/1,1,非金属材
000962,东方钽业,9.996177673339844,1944087376,6.928344249725342,256950045,105009,132615,1,1/1,1,小金属
600330,天通股份,10.0,3703383328,10.61994171142578,101934518,105345,133012,3,1/1,1,电子化学
002515,金字火腿,10.0,1334343840,14.415165901184082,28578264,110454,142706,9,1/1,1,食品加工
600641,先导基电,9.99676513671875,1955765904,6.446401119232178,139711168,110950,132317,2,1/1,1,半导体
002824,和胜股份,10.020618438720703,601256576,10.391422271728516,63882592,111351,111351,0,1/1,1,工业金属
601208,东材科技,9.991039276123049,3775172928,7.83565092086792,106395330,130016,133034,2,1/1,1,塑料
002628,成都路桥,10.0,402978240,10.28876495361328,7278955,130042,140818,5,1/1,1,基础建设
002852,道道全,10.024752616882324,169845649,6.912317276000977,49623908,130930,135009,1,1/1,1,农产品加
000592,平潭发展,10.016155242919922,1942472784,15.331869125366213,72696750,131242,143548,2,1/1,1,林业Ⅱ
601233,桐昆股份,9.98307991027832,1683373696,2.815061569213867,37908000,132210,133934,1,1/1,1,炼化及贸
603093,南华期货,10.008136749267578,759566496,6.702669143676758,55862814,132341,132341,0,1/1,1,多元金融
603319,美湖股份,10.01120662689209,603684144,6.303375720977783,88822967,142112,142112,0,1/1,1,汽车零部
603688,石英股份,10.00640106201172,1040093616,3.850856304168701,143885914,142429,142429,0,1/1,1,非金属材
001309,德明利,10.000255584716797,8762050048,12.71619987487793,172055705,143024,143433,1,1/1,1,半导体
688368,晶丰明源,20.0,794789888,4.968150615692139,19339982,143148,143148,0,1/1,1,半导体
002396,星网锐捷,9.993403434753418,3237273232,13.514585494995115,160023305,143639,143639,0,1/1,1,通信设备
600345,长江通信,9.993660926818848,925162400,8.704469680786133,139637935,144252,144252,0,1/1,1,通信设备
605288,凯迪股份,10.0,182845287,3.055814504623413,33127032,144749,144749,0,1/1,1,自动化设
