code,name,pct,amount,turnover,speed,amplitude,last_limit_time,prev_board_count,board_stat,industry
600103,青山纸业,0.7853402495384216,2970707696,33.7957878112793,0.0,10.471203804016112,93033,3,4/3,造纸
600108,亚盛集团,0.7936508655548096,1073027104,14.549482345581056,0.0,6.349206924438477,100835,1,2/1,种植业
600127,金健米业,9.183673858642578,3291559264,45.06634140014648,0.0,10.111316680908203,93610,1,10/6,农产品加
600162,香江控股,10.061601638793944,811039168,4.694637775421143,0.0,5.954825401306152,100621,1,2/2,房地产开
600330,天通股份,-0.7204116582870483,4637686016,12.859399795532228,0.0,5.728988170623779,133012,1,2/1,电子化学
600345,长江通信,-1.9400691986083984,885370032,8.037856101989746,0.0,4.840568542480469,144252,1,2/1,通信设备
600359,新农开发,0.5354752540588379,497706496,17.26260757446289,0.0,9.504685401916504,95816,1,2/1,种植业
600371,万向德农,10.009532928466797,56645752,1.6777215003967283,0.0,0.0,93006,3,9/6,种植业
600378,昊华科技,10.008254051208496,2975549760,5.205942630767822,0.0,1.4651257991790771,93339,1,2/2,化学制品
600397,江钨装备,0.8407776951789856,3060811616,16.11180305480957,0.0,4.046242713928223,102342,1,2/1,专用设备
600479,千金药业,9.983498573303224,1392000800,25.61577033996582,0.0,12.62376308441162,132045,2,3/3,中药Ⅱ
600540,新赛股份,10.0217866897583,26090416,0.8886521458625793,0.0,0.0,92502,1,2/2,种植业
600613,神奇制药,6.804479122161865,2412858368,41.34233474731445,0.0,14.125754356384276,93050,1,12/7,化学制药
600641,先导基电,2.3529412746429443,4022725824,12.067195892333984,0.0,7.6764702796936035,132317,1,2/1,半导体
600654,中安科,10.0,423233984,5.031227111816406,0.0,0.3030302822589874,93837,1,2/2,软件开发
600683,京投发展,-0.0905797109007835,709889424,8.679473876953125,0.0,5.072463512420654,95820,1,2/1,房地产开
600721,百花医药,-7.43405294418335,2908569072,47.77463150024414,0.0,9.952038764953612,143935,1,2/1,医疗服务
600969,郴电国际,-3.444976091384888,445303088,11.819239616394045,0.0,5.263157844543457,100954,2,3/2,电力
601208,东材科技,4.439918518066406,4729179648,9.18393611907959,0.0,5.356415271759033,133034,1,2/1,塑料
601233,桐昆股份,5.57692289352417,2484147664,3.896294116973877,0.0,8.692307472229004,133934,1,2/1,炼化及贸
601869,长飞光纤,-1.0449368953704834,9189037056,5.252320289611816,0.0,5.77058219909668,102555,1,2/1,通信设备
603002,宏昌电子,4.494381904602051,2293956128,11.38122844696045,0.0,8.04257869720459,95201,1,2/1,电子化学
603011,合锻智能,9.984089851379396,2204164224,16.5865421295166,0.0,10.540970802307127,104551,1,2/2,专用设备
603093,南华期货,-2.218935012817383,612780160,5.184098720550537,0.0,4.142011642456055,132341,1,2/1,多元金融
603137,恒尚节能,-6.914893627166748,560222160,13.247617721557615,0.0,6.587561130523682,101325,1,2/1,装修装饰
603237,五芳斋,-1.9521411657333367,192211114,6.344450950622559,0.0,7.80856466293335,93006,1,2/1,食品加工
603261,立航科技,-2.945683717727661,371137264,8.054703712463379,0.0,16.328964233398438,93542,1,2/1,航空装备
603269,海鸥股份,10.019841194152832,341607952,3.594622611999512,0.0,5.952381134033203,110530,1,2/2,通用设备
603319,美湖股份,-9.98302173614502,978344528,10.70054531097412,0.0,8.692699432373047,142112,1,2/1,汽车零部
603435,嘉德利,-1.857410907745361,305767648,15.955344200134276,0.0,5.572232723236084,101837,1,2/1,电子化学
603580,艾艾精工,3.614008903503418,1179541056,10.71494960784912,0.0,9.674614906311035,95533,1,2/1,塑料
603618,杭电股份,2.307034969329834,7081984768,27.618852615356445,0.0,8.459128379821777,93528,2,3/2,电网设备
603688,石英股份,-0.0969744026660919,1442159920,5.049986362457275,0.0,5.469356060028076,142429,1,2/1,非金属材
603900,莱绅通灵,9.943977355957031,175103011,6.508481025695801,0.0,0.0,94035,1,2/2,饰品
603938,三孚股份,3.225088834762573,1603839696,9.016182899475098,0.0,5.115658283233643,94547,1,2/1,化学原料
605258,协和电子,-4.639498710632324,287517808,10.537108421325684,0.0,5.611285209655762,103457,1,2/1,元件
605288,凯迪股份,5.638264179229736,288274704,4.510586738586426,0.0,9.360151290893556,144749,1,2/1,自动化设
688300,联瑞新材,1.9652061462402344,5056494080,10.72783088684082,0.0,7.415163516998291,111947,1,2/1,非金属材
688368,晶丰明源,0.8696892261505127,1460764448,8.184260368347168,0.0,9.003421783447266,143148,1,2/1,半导体
688790,昂瑞微-UW,-1.121822953224182,274581344,18.486557006835938,0.0,12.287467002868652,101856,1,2/1,半导体
920895,花溪科技,29.96923065185547,193042228,38.169036865234375,0.0,36.5538444519043,110203,1,2/2,专用设备
