code,name,pct,amount,turnover,open_times,board_stat,amplitude,industry
002176,江特电机,2.1857922077178955,1696070336,10.359594345092772,1,0/0,7.868852615356445,电机Ⅱ
002627,三峡旅游,5.359877586364746,368378560,7.514792919158935,1,0/0,5.819295883178711,旅游及景
001268,联合精密,-0.44603031873703,325402832,14.717292785644531,1,2/1,11.284567832946776,家电零部
002574,明牌珠宝,4.612159252166748,214414535,7.976004123687744,2,0/0,7.337526321411133,饰品
600844,金煤科技,3.910614490509033,548390848,17.47535514831543,1,0/0,6.983240127563477,化学原料
000523,红棉股份,5.863192081451416,462142224,10.565943717956545,1,0/0,9.44625473022461,综合Ⅱ
002172,澳洋健康,4.054053783416748,1121455552,31.19057273864746,1,10/6,8.558558464050293,医疗服务
000795,英洛华,5.373831748962402,548382080,5.3589701652526855,1,0/0,9.579439163208008,金属新材
002853,皮阿诺,8.420551300048828,242762565,8.378668785095215,2,0/0,12.416746139526367,家居用品
600354,敦煌种业,6.938160419464111,827298656,22.15191650390625,1,0/0,10.40723991394043,种植业
002437,誉衡药业,9.137056350708008,3342669552,37.63618087768555,2,0/0,11.92893409729004,化学制药
000716,黑芝麻,6.355932235717773,348645280,9.488929748535156,1,0/0,11.016949653625488,休闲食品
002333,罗普斯金,7.590132713317871,278675312,7.466574668884277,2,0/0,12.14421272277832,装修建材
301130,西点药业,17.014204025268555,803862256,36.68510818481445,3,0/0,22.0006046295166,化学制药
000759,中百集团,8.303886413574219,615267344,15.517629623413086,2,0/0,11.66077709197998,一般零售
600330,天通股份,5.140007495880127,4943651328,14.549410820007324,1,0/0,12.50479507446289,电子化学
002953,日丰股份,4.095238208770752,372441968,12.183035850524902,1,0/0,12.85714340209961,电网设备
300542,新晨科技,16.73640251159668,654005632,19.09464263916016,4,0/0,20.3347282409668,软件开发
600162,香江控股,6.4039411544799805,828161824,5.955748558044434,1,0/0,11.083744049072266,房地产开
002636,金安国纪,5.936828136444092,3462995760,7.562146186828613,1,0/0,14.420373916625977,元件
002394,联发股份,6.145833492279053,154983985,4.720668315887451,1,0/0,12.083333015441896,纺织制造
002515,金字火腿,4.767879486083984,1254883856,13.56326389312744,1,0/0,13.927227020263672,食品加工
