code,name,pct,amount,turnover,open_times,board_stat,amplitude,industry
002703,浙江世宝,5.714285850524902,958424800,11.06132984161377,1,0/0,4.5421247482299805,汽车零部
002975,博杰股份,8.284435272216797,2617922048,17.71030044555664,1,0/0,7.9065141677856445,自动化设
301598,博科测试,17.078319549560547,195738071,19.62732696533203,1,0/0,9.710786819458008,专用设备
601958,金钼股份,6.153144836425781,2821628976,3.7060842514038086,2,0/0,5.697356700897217,小金属
002536,飞龙股份,3.896103858947754,4109110832,15.127889633178713,1,2/1,8.643815040588379,汽车零部
001257,盛龙股份,3.055555582046509,1043215360,28.368200302124023,2,0/0,7.619048118591309,小金属
002506,协鑫集成,6.5134100914001465,2056392912,12.595871925354004,3,0/0,8.429119110107422,光伏设备
688356,键凯科技,15.520774841308594,1890200800,24.95543670654297,5,3/2,11.635923385620115,化学制药
002192,融捷股份,5.985381603240967,3897128528,19.202760696411133,6,2/1,5.185491561889648,能源金属
603320,迪贝电气,3.3252720832824707,104814169,4.083755970001221,1,0/0,9.97581672668457,电机Ⅱ
002132,恒星科技,9.01467514038086,1099300144,15.18297290802002,1,0/0,4.612159252166748,通用设备
002853,皮阿诺,2.5365853309631348,165421906,5.894972801208496,2,0/0,10.0,家居用品
001230,劲旅环境,9.290383338928224,418730640,16.504657745361328,3,0/0,9.010271072387695,环境治理
000603,盛达资源,8.877355575561523,4825303552,18.69322204589844,1,2/1,9.69680404663086,贵金属
002742,冀衡医药,4.679802894592285,182892558,8.23591423034668,1,0/0,11.330049514770508,化学制药
688136,科兴制药,14.841848373413086,713380640,15.064203262329102,4,0/0,16.73965835571289,生物制品
